Gene	Fold_change_32h
HK2	0,193
MREG	0,341
PLOD2	0,213
SLC25A24	0,287
SMOX	0,97
WWC1	0,152
ABCF2	0,598
ACLY	0,175
ADCY9	0,286
AGPAT5	0,311
C12orf30	0,148
C12orf31	0,576
C4orf19	0,366
C5orf30	-0,027
C9orf95	0,071
CCDC117	0,676
CHCHD4	0,449
CNKSR3	0,213
CSK	0,517
DIMT1L	0,289
DTNA	0,185
ECE2	0,534
ELOVL6	0,257
FAM86A	0,368
GARS	0,371
GFOD1	0,468
GNL2	0,525
GRWD1	0,665
HMGCR	0,481
HMGCS1	0,213
HNRPD	0,214
HOXC8	0,196
IFRD1	0,169
IGF1R	0,335
KCTD6	0,165
KIAA0133	0,468
LDLRAD3	0,203
LRRC50	0,603
LYSMD2	0,207
MARS	0,274
MCM6	-0,034
MEST	0,358
MVD	0,811
NARG1	0,356
NETO2	0,102
NLN	0,292
OGFOD1	0,4815
ONECUT2	0,358
OTUD6B	0,129
PHF17	0,385
PHLDA2	0,181
PLAC1	0,206
POLR1C	0,415
PTRH2	0,451
RAB31	0,457
RBM13	0,353
REEP1	0,033
RPL10	0,649
SC4MOL	0,411
SDAD1	0,362
SFRS1	0,224
SFRS2	0,432
SLC25A28	0,357
SND1	0,525
SQLE	0,193
STRBP	0,398
SVIL	0,325
TIMM8A	0,293
TPM1	0,302
UBIAD1	0,418
UGCG	0,256
VARS	0,45
WDR75	0,387
WRN	0,219
YARS	0,305
ZDHHC14	0,128
ZNF121	0,257
ZNF26	0,295
C1orf216	0,691
EIF3J	0,048
LOC348180	0,571
NOP5/NOP58	0,279
PPAN-P2RY11	0,776
RRP1B	0,255
SNORA33	0,227
XTP3TPA	0,367
PKIB	2,423
RAPGEFL1	2,355
SIAH2	1,864
SLC7A5	2,135
STC2	1,451
TFF1	2,423
ACTG2	0,289
CA12	2,019
CDCA7	0,996
CYP26B1	0,984
HSPB8	1,805
MYB	2,191
PCP4	2,452
SOX3	2,314
STC1	1,908
THSD4	1,592
GREB1	3,983
CALB2	4,726
XRCC3	1,135
AHSA1	1,001
ANKRD33	1,198
CACYBP	0,896
CDC25A	0,968
CHEK1	0,912
CTSD	1,117
FADS1	0,779
FGFRL1	0,813
GCLM	0,787
GINS2	0,653
GINS3	0,737
MCM2	1,006
MCM3	0,595
NME1	0,9785
NP	0,813
NUP107	0,798
PDCD5	1
PDSS1	0,8
PRSS23	1,223
RFC3	0,904
RMI1	0,712
RPL29	1,087
RPL6	1,033
RPL8	1,034
SUSD4	0,929
TAGLN2	1,098
TIPIN	0,722
TMEM97	0,806
UNG	0,798
MCM7	0,9035
MTP18	0,8725
TUBB2A	1,188
ADAMTSL5	0,695
GPRIN1	0,689
LYPD6	0,625
SEMA3B	0,999
TGIF2	0,961
ADCY3	0,42
ANAPC7	0,914
ATAD3A	0,759
ATP1B3	0,574
C1orf135	0,644
C1QBP	0,698
C20orf160	0,715
C9orf105	0,6
CAD	0,603
CDCA4	0,7475
CENPO	0,74
CEP135	0,756
CHRNA5	0,762
CSE1L	0,792
EEF1E1	0,361
EMG1	0,822
FAM54A	0,794
FAM57A	0,402
FKBP5	0,717
GEMIN4	0,731
GEMIN6	0,888
GLT25D1	0,823
GTPBP3	0,633
HES6	0,554
HMBS	0,82
HSP90AA1	0,525
HSP90AB1	0,6
HSPA8	0,697
HSPE1	0,773
IARS	0,736
IFRD2	0,751
IPO4	0,564
IRAK1	0,746
JAK2	0,69
LOXL3	0,715
MOCOS	0,484
MOCS2	0,674
MRPL12	0,614
MRPL17	0,575
NCL	0,936
NDUFA12L	0,472
NUDC	0,881
OLFM1	0,513
PA2G4	0,779
PAICS	0,726
PDXP	0,752
PFAS	0,869
PGAM5	0,825
POLR2D	0,893
POLR3K	0,489
PRMT5	0,985
PRPF4	0,771
RAD51C	0,7855
RAI14	0,766
RPL36	0,998
SAC3D1	0,806
SDF2L1	0,989
SEH1L	0,6665
SLC19A1	0,67
SLC25A22	0,861
SMPDL3B	0,877
TOMM40	0,784
TRAP1	0,458
UCHL5IP	0,817
UCK2	0,951
ILMN_1757278	0,699
ATRIP	0,737
AK074198	0,413
BC047906	0,834
GART	0,757
LOC150223	0,821
TRA16	0,611
ABHD2	0,885
ABLIM1	0,526
AMFR	0,784
CXXC5	0,774
ITGB5	0,729
ITPK1	0,563
TAZ	0,576
THOC5	0,703
WFS1	0,619
ATF5	0,772
ATP2A2	0,753
C16orf61	0,616
C18orf24	0,506
C20orf177	0,57
C6orf125	0,62
CALM1	0,444
CALML4	0,519
CCDC5	0,49
CCT7	0,483
CDV3	0,884
CHN1	0,477
DCLRE1B	0,534
DPAGT1	0,595
FAM46C	0,382
HNRPA3	0,682
HYOU1	0,639
IFNAR2	0,4995
ILF2	0,627
ISG20L2	0,418
KCTD20	0,442
METTL3	0,402
MLKL	0,366
MRPS12	0,668
NASP	0,417
NGRN	0,435
NOC2L	0,59
NOLA2	0,461
NTN1	0,45
NUP188	0,68
NUP93	0,665
PGAM4	0,606
PNN	0,474
POP1	0,727
PSPH	0,498
RASSF1	0,622
RUVBL2	0,602
SIP1	0,728
SNRPA	0,748
SNRPA1	0,65
THOC6	0,575
TMPO	0,567
TNRC5	0,69
TPBG	0,267
PIP4K2A	0,726
CCDC137	0,642
NY-SAR-48	0,629
RECQL4	1,121
ATAD2	0,777
C16orf59	0,676
CCNE2	-0,075
CDC45L	0,689
CDCA5	1,123
CELSR2	1,703
DTL	0,501
E2F1	0,688
E2F2	0,835
EXO1	0,607
FEN1	1,225
GFRA1	1,342
KHK	0,977
KNTC1	0,663
MCM10	0,625
MCM5	0,834
MPHOSPH1	1,423
PKMYT1	1,338
POLA2	0,923
POLE2	0,577
RAD54L	0,801
TUBB	1,597
TYMS	1,133
ZWINT	0,895
AK056108	1,391
DCC1	1,023
ENSG00000214391	2,118
ERCC6L	1,271
ACAT2	1,216
ASF1B	0,952
ATP5G1	1,07
BLM	0,816
BUB1B	1,233
C13orf3	1,057
C15orf42	1,063
CCDC34	1,05
CCDC99	1,027
CDCA8	1,75
CENPH	0,909
CENPM	1,2065
CEP152	0,912
CEP55	1,662
CRELD2	0,886
GINS4	1,02
GLA	1,076
H2AFX	1,252
LIG1	0,934
MAD2L1	0,969
MELK	0,919
PBK	1,038
PIM1	0,938
PLK4	0,978
PPIL5	0,999
PPP2R2A	1,218
RNASEH2A	1,084
SGOL1	1,285
TIMELESS	1,01
TK1	0,907
TUBB2C	1,258
TUBB6	1,332
TUBG1	1,005
WDR62	1,202
ILMN_1703692	0,878
KIAA0286	0,868
LOC81691	1,119
TUBA1A	1,291
BRI3BP	0,8325
C1orf112	0,696
CDT1	0,575
CENPK	0,378
CHAF1B	0,407
CTNNAL1	0,359
DSCR2	0,6895
E2F7	0,337
E2F8	0,628
ELOVL5	0,583
EXOSC9	0,419
FIGNL1	0,429
GMNN	0,53
HELLS	0,556
HPRT1	0,521
KIAA0101	0,5585
MASTL	0,489
ORC1L	0,806
PCNA	0,004
PHGDH	0,747
POLQ	0,783
PRIM1	0,517
RAD51	0,589
RAD51AP1	0,49
RAD54B	0,302
RANBP1	0,677
RFC4	0,526
RFC5	0,478
SKP2	0,591
SYTL4	0,584
TMEM38B	0,51
UBE2T	0,786
AK025766	0,678
POLD1	0,555
CHPT1	0,635
OVOL2	0,708
ADAM15	0,716
ALS2CR4	0,535
APITD1	0,809
ARMET	0,774
B4GALNT1	0,767
BLMH	0,476
C16orf53	0,88
C17orf53	0,838
C1orf183	0,443
CASC5	0,718
CCDC74A	0,912
CDK2	0,374
CDK4	0,24
CENPI	0,9
CENPL	0,928
CKLF	0,475
CYP4F11	0,759
DDX39	0,76
DHX9	0,673
DPYSL2	0,567
DTYMK	0,74
DUT	0,596
EXOSC8	0,438
F12	0,544
FANCA	0,607
FANCG	0,648
FBXO5	0,474
G6PD	0,655
H2AFZ	0,74
IL27RA	0,637
ISOC1	0,69
KIF15	0,738
LDHA	0,729
LRRC28	0,812
LTB4DH	0,689
MAD2L2	0,789
MLF1IP	0,318
MND1	0,454
MSH6	0,132
MYOHD1	0,552
NEIL3	0,688
NQO2	0,547
NT5DC2	0,718
NUP155	0,415
NUP205	0,416
OBFC2B	0,885
ORC6L	0,57
PARP2	0,439
PDCD4	0,474
RCC1	0,651
RFC2	0,238
RPL39L	0,799
RRM1	0,552
SFN	0,708
SLC39A8	-0,117
SSRP1	0,709
STIL	0,897
THOC4	0,789
UCHL5	0,266
UPF3B	0,409
USP1	0,096
WDR51A	0,55
C6orf126	0,756
DKFZp667P0924	0,317
KIF24	0,436
LOC401397	0,558
ANLN	0,912
ASPM	1,362
AURKB	1,523
BUB1	1,25
C15orf23	1,526
C6orf129	0,922
C6orf141	1,439
CCNA2	1,688
CDC2	0,836
CDC20	1,872
CDCA2	1,369
CDCA3	1,6
CENPE	1,182
CENPF	1,671
CENPN	1,219
CKAP2L	1,262
CNIH2	0,523
DLG7	1,679
ESPL1	1,02
FAM64A	1,762
FAM83D	1,801
FANCD2	0,933
FOXM1	1,164
GPR30	1,203
GPX2	1,276
HIST1H4C	0,413
HMGB2	1,076
IQGAP3	1,279
KIF11	1,1
KIF14	1,344
KIF23	1,013
KIF2C	1,345
KIF4A	1,439
KPNA2	1,415
MGP	1,734
MKI67	1,201
MT1A	1,759
MT2A	1,952
NCAPG	1,251
NRM	0,825
OIP5	0,677
PRC1	1,332
SPAG5	1,452
STMN1	1,04
TACC3	1,467
TOP2A	1,259
TROAP	1,857
UBE2C	1,4735
DKFZp762E1312	1,1
FANCI	0,628
NDC80	0,872
SPC25	1,022
AURKA	1,513
BRD8	0,29
CBR3	1,037
CCNB1	1,228
CCNB2	1,55
CCNF	1,033
CDC25C	0,971
CDKN3	1,35
CENPA	1,296
CIT	0,8
GPSM2	1,042
H1FX	0,905
HMMR	1,805
HYLS1	0,764
KIF20A	1,898
MT1X	0,73
MXD3	0,796
NCAPD2	0,951
NUSAP1	1,182
PHF19	0,618
PRR11	1,64
PSRC1	1,234
RNF26	0,986
TPX2	1,236
CEACAM6	-2,33
EFHD1	-2,819
GPR81	-2,126
PPFIBP2	-2,189
TM4SF1	-2,0173
TP53INP1	-2,105
TSC22D3	-1,981
ATP6V0A4	-1,928
BIK	-1,677
BTG1	-1,661
C1orf115	-1,585
CRABP2	-0,734
DSCR1	-2,051
EDG3	-1,751
EFNA1	-1,633
EGR1	-1,67
EPAS1	-2,167
HBP1	-1,224
ISGF3G	-1,285
KIAA0513	-1,446
LMTK3	-1,713
MXD4	-1,43
PLEKHF2	-2,124
PPP1R3C	-1,431
PRSS8	-1,54
RAB26	-1,312
RPRM	-1,925
RPS29	-1,404
SALL4	-1,897
SASH1	-1,665
SLC17A5	-1,734
SLC31A2	-1,653
TNFRSF11B	-1,93
VAMP5	-1,826
VTCN1	-1,732
YPEL3	-1,606
YPEL5	-1,787
AF131784	-2,194
DRAM	-1,79
HIG2	-1,486
LOC338758	-1,418
PIK3IP1	-1,432
PMP22	-2,01
ARID5B	-1,366
BCAS3	-1,252
BCL2L1	-1,032
PNPLA7	-1,15
PMEPA1	-1,323
YPEL2	-1,186
ABCG1	-1,105
ANK3	-1,442
AXUD1	-1,26
C9orf152	-0,951
CLN3	-0,951
CREB3L4	-0,903
CRIP1	-1,187
CXCR4	-0,811
DDIT4	-1,038
FAM100B	-0,142
GPR160	-1,544
IFIT1	-1,083
IGBP1	-0,985
IGFBP5	-1,785
IGSF3	-1,261
LRP10	-1,049
LYPD3	-1,344
MB	-0,699
MUC1	-1,093
NDRG1	-1,055
NUAK1	-1,298
PCAF	-1,766
PIB5PA	-1,045
PPL	-1,344
PPT1	-1,157
PROM2	-1,385
PXMP4	-0,77
RAP1GAP	-1,13
RFX5	-0,42
RNF207	-1,077
RPS6KA5	-1,073
SELENBP1	-1,164
SERPINB1	-1,047
SH3BP4	-1,015
SUOX	-1,015
TFPI	-1,0755
TMPRSS2	-1,251
TSPAN31	-1,092
TSPAN9	-1,275
VPS37D	-0,993
ZFYVE1	-0,787
ZNF217	-1,339
ZNF467	-1,151
ERMP1	-1,319
AK023660	-1,105
AK098012	-0,9115
BC052981	-0,81
LOC124220	-0,906
SAT1	-1,219
SNORD13	-0,745
CAPN9	-0,928
ELF3	-0,449
GRAMD1A	-0,604
ZMIZ1	-0,971
ACOX1	-0,885
ACSS1	-0,721
ALKBH7	-0,801
ARNT	-0,872
ATP8B2	-1,056
BMF	-1,0111
C1orf85	-0,767
C6orf165	-1,003
CAMK2N1	-1,271
CCDC53	-0,777
CCNDBP1	-0,685
CCNG1	-1,038
CCNG2	-0,942
CDH3	-0,743
CLMN	-0,798
CTDSP2	-0,723
CXCR7	-0,769
DYNLRB2	-0,975
EPB41L5	-1,039
EPS8L1	-0,966
ERBB3	-0,918
FBXO32	-0,979
GALNT10	-1,101
GAMT	-0,746
GATA3	-1,007
GLTP	-0,676
GRM4	-0,942
GSTT1	-0,704
HOXC13	-0,93
ID2	-0,865
ID3	-1,091
IRF1	-0,95
KIAA0556	-0,868
LITAF	-0,693
LMBRD1	-1,062
LRRC1	-0,998
LRRC51	-0,823
LRRC56	-0,779
MEF2D	-0,856
NCOA3	-1,052
NPNT	-0,925
PACSIN1	-0,555
PLXNB2	-1,035
PPAP2C	-1,018
PRKCH	-0,725
PSD3	-1,204
PTGER4	-0,909
RAB20	-0,949
RAB27B	-0,855
RTN2	-0,66
SGCG	-0,83
SLC12A2	-1,042
SMAD3	-0,542
STAT2	-0,659
TBC1D2	-0,997
TMEM105	-0,708
TMEM45B	-0,8451
TRAM2	-1,043
TRIM24	-1,17
ZDHHC7	-0,917
ZNF277P	-1,051
ZNF358	-0,633
ZNF433	-1,068
ZNF581	-0,808
FLJ41603	-1,156
FOXO4	-0,882
LOC153222	-0,908
LOC162073	-1,03
LOC388588	-0,813
PRIC285	-0,997
RAB9A	-0,936
RILPL2	-0,689
RWDD2A	-1,235
TGIF1	-0,551
ADFP	-0,589
BAMBI	-0,542
BTG2	-0,707
CCDC28A	-0,471
CDC2L6	-0,583
CORO2A	-0,552
DBP	-0,757
DMRTA1	-0,907
FAM113B	-0,626
FAM65A	-0,665
FLOT1	-0,235
FNBP1	-0,818
FZD2	-0,617
GTF2IRD1	-0,443
IRF6	-0,616
IRF7	-0,288
KIAA1522	-0,774
KYNU	-0,5325
M6PRBP1	-0,233
MARVELD3	-0,87
PALM	-0,48
RHOQ	-0,659
SERTAD3	-0,365
SIX4	-0,83
TGFB3	-0,677
TSC22D4	-0,641
WDSUB1	-0,692
AL832276	-0,472
FLJ13236	-0,18
BCAR3	-0,792
HSH2D	-0,575
LFNG	-0,578
N4BP3	-0,556
RXRA	-0,517
ALDH6A1	-0,644
ARHGEF16	-0,654
ARNT2	-0,613
ATAD4	-0,651
BNIPL	-0,615
CBX6	-0,618
CCDC120	-0,582
CKB	-0,304
CSNK2A2	-0,454
DDR1	-0,667
EML2	-0,49
ERMAP	-0,451
ENSG00000188179	-0,517
EVI5L	-0,607
FAM83A	-0,516
GABARAPL2	-0,493
GPR137B	-0,677
HEBP2	-0,667
HPS3	-0,459
IFT20	-0,725
ITGB4	-0,49
ITGB6	-0,614
KIAA0355	-0,563
KLHDC2	-0,735
MAP1LC3B	-0,533
MARCKS	-0,8
NEBL	-0,87
PCGF2	-0,473
PCMTD1	-0,902
PHLDB3	-0,4665
PIGP	-0,559
PPP1R13L	-0,551
PXMP3	-0,55
QPRT	-0,494
RPL34	-0,543
SAMD11	-0,549
SIDT1	-0,367
SLC26A11	-0,574
SP110	-0,66
TMEM142C	-0,406
TSC22D1	-0,5355
WIPI1	-0,467
WSB2	-0,706
ILMN_1846621	-0,6562
BC064139	-0,743
FLJ12993	-0,458
SOX13	-0,467
ARID3A	-0,153
BRPF3	-0,516
C14orf93	-0,141
C1orf63	-0,311
CRIP2	-0,36
DMAP1	-0,331
DTX2	-0,4
GOLGA2	-0,291
HNMT	-0,077
IHPK2	-0,305
INPPL1	-0,251
KIAA0195	-0,072
MATN2	-0,599
NR1H3	-0,348
NSMCE2	-0,356
POLD4	-0,281
PRKD2	-0,038
RERE	-0,42
RNF43	-0,459
SLC22A18	-0,307
SMAD6	-0,51
SYNGR3	-0,349
TBC1D22A	-0,448
TRAFD1	-0,295
ZDHHC16	-0,213
ZKSCAN1	-0,465
ILMN_1860216	-0,441
ATG2A	-0,173
LOC113230	-0,351
REC8	-0,361
BMP7	-0,801
FAM174B	-1,06
BCAS1	-1,113
BCL6	-1,096
BNIP3L	-1,326
C20orf108	-1,243
CAPN5	-1,084
CD55	-1,188
CREB3L2	-0,982
CTNND2	-1,341
CYB5R1	-1,14
ECHDC2	-0,964
ETFA	-0,965
FEZ2	-1,079
JARID1B	-0,96
KLF9	-1,055
LAMB2	-1,147
LIMA1	-1,341
PARP9	-1,014
RBKS	-0,948
RIN2	-1
RND3	-1,512
SOX4	-1,283
SPIRE2	-1,158
TACC1	-1,419
TLE1	-1,251
TMEM59	-0,898
UBE2H	-0,728
UBE2L6	-1,037
WDR21A	-0,915
AL157484	-0,841
AX746755	-0,999
BC004287	-1,174
BC039104	-0,985
BC073155	-1,211
ATP2C2	-0,665
C14orf43	-0,696
CALML5	-0,56
FAM129B	-0,53
FBP1	-0,833
ABTB1	-0,682
ARHGAP12	-0,819
ARSD	-0,772
AUH	-0,765
BBS1	-0,75
C14orf179	-0,702
C16orf7	-0,831
C19orf21	-0,897
C4orf14	-0,652
C9orf52	-0,803
CA5B	-0,718
CAMK1D	-0,81
CCDC92	-0,554
CEBPD	-0,752
COMT	-0,736
CORO1B	-0,589
CTSH	-0,859
DUSP4	-0,667
ENC1	-0,919
EPHX2	-0,732
FYCO1	-0,848
HIST1H2BG	-0,458
HMGCL	-0,678
ISG15	-0,63
KIAA0323	-0,764
LRRC41	-0,619
MCCC1	-0,735
MIDN	-0,421
MSX2	-0,731
MYO6	-0,785
NEDD4L	-0,601
NRBP1	-0,536
NUDT16	-0,514
OAS1	-0,796
OTUD5	-0,321
PIGQ	-0,63
PINK1	-0,636
PLD3	-0,79
PMPCB	-0,982
PPP1R15A	-0,477
PRKCD	-0,478
RGL2	-0,889
RHBDF1	-0,72
RHOC	-0,677
RPL28	-0,408
S100A16	-0,7
SH3BGRL2	-1,078
SIL1	-0,456
SLC44A2	-0,864
SPSB3	-0,658
SQRDL	-0,735
SSH3	-0,624
ST8SIA4	-0,9225
STAT1	-0,787
SUMF1	-0,821
SYF2	-0,742
TJP2	-0,641
TSPAN1	-0,638
UBXD1	-0,409
VGLL4	-0,798
YIPF1	-0,692
YIPF3	-0,532
ZNF524	-0,65
ZNFX1	-0,526
ILMN_1850238	-0,483
FAM110A	-0,386
BC070370	-0,867
BC090942	-0,825
VAMP8	-0,748
PREX1	-1,545
RFTN1	-1,534
TNS3	-2,134
ALAD	-1,37
ALDH4A1	-1,246
CD24	-1,371
CLDN3	-1,096
CLIC3	-1,558
CMYA5	-1,424
ECH1	-1,502
FAM107B	-1,432
GDPD3	-1,743
HIST1H1C	-1,574
HIST1H2AC	-1,162
HIST1H2BD	-1,29
HIST2H2BE	-1,288
IFI6	-1,267
MVP	-1,231
MYO1B	-1,661
PGM5	-1,863
PUNC	-1,479
SH3YL1	-1,51
TXNIP	-1,091
NUPR1	-1,525
TIGA1	-0,997
CAMK2G	-0,529
CDK6	-0,998
LAMB1	-0,868
SYNJ2	-0,652
TBC1D9	-0,8
ABCC5	-0,8295
ABR	-0,614
ADCY6	-0,683
AMOT	-0,759
ANKRD57	-0,526
ATP6V1G1	-0,894
C3orf57	-0,627
CAB39	-0,771
CLK1	-0,604
COBLL1	-1,128
COL4A3BP	-0,728
CRY2	-0,698
CYFIP2	-0,77
DDEFL1	-0,526
DKK1	-0,981
EFEMP1	-1,051
EFNB2	-1,031
EIF4A2	-0,81
EVI1	-0,645
GRN	-0,705
HEBP1	-0,776
KIAA0913	-0,506
KIAA1370	-0,918
LIN7A	-0,67
MANBA	-0,741
MCEE	-0,762
MOAP1	-0,498
NCAM2	-0,697
PAWR	-0,788
PHYH	-0,98
PTPRK	-1,112
PWWP2	-0,654
SH3BGRL	-0,776
SLC35A1	-1,005
SLC9A1	-0,728
SPATA7	-0,714
TRPM4	-0,677
WASL	-0,836
AK024898	-0,876
AK055323	-0,784
AK093867	-0,924
CR622439	-0,657
CTSL1	-0,848
DIP	-0,648
FLJ20323	-0,646
ANXA3	-1,277
NPAS3	-1,164
ABHD11	-0,754
ALDH3B2	-0,562
BATF	-0,765
C10orf116	-1,01
C6orf48	-0,616
C6orf85	-0,789
CD47	-0,922
CD9	-0,953
CDKN2B	-1,24
CFB	-0,479
CITED2	-1,192
CPEB4	-0,941
CRBN	-0,95
EVA1	-0,8915
HIST1H2AE	-0,963
HIST1H3H	-0,501
HIST1H4H	-1,228
HIST2H2AC	-1,012
JUP	-0,663
KRT80	-1,254
NQO1	-1,232
PHACTR2	-1,359
REEP5	-1,126
S100A13	-0,756
S100A6	-1,078
SCARB2	-1,117
SILV	-1,113
ST3GAL1	-1,042
ST3GAL4	-0,868
SYTL2	-1,0325
TMC4	-0,924
TNFRSF12A	-0,913
TRIB3	-0,695
TSPO	-0,958
WWC3	-0,963
ILMN_1891523	-0,727
FAM110B	-0,933
SNX29	-1,082
AQP3	-0,711
NPEPL1	-0,596
ADPRHL1	-0,164
AGXT2L2	-0,429
APP	-0,627
ATP2A3	-0,396
BCKDHB	-0,7775
C9orf46	-0,673
CIRBP	-0,477
COBL	-0,683
DNAL4	-0,505
DUSP1	-0,859
FXYD3	-0,54
GBP2	-0,374
HIST1H2AM	-0,437
HIST1H2BC	-0,531
HIST1H3F	-0,425
METRNL	-0,41
NOTCH1	-0,547
OPLAH	-0,734
OSBPL2	-0,565
PEX16	-0,397
PLEKHA6	-0,694
PSAP	-0,532
RAB24	-0,52
RNF19	-0,57
RUTBC1	-0,752
SAPS2	-0,371
SCCPDH	-0,611
SDC1	-0,533
SIDT2	-0,631
SLC35D2	-0,251
SLC41A3	-0,693
THBS3	-0,505
TOM1L2	-0,432
UPK1A	-0,47
VPS28	-0,487
ZFYVE26	-0,473
ILMN_1688775	-0,794
CCDC64B	-0,604
FLJ11286	-0,597
GATS	-0,505
LOC57228	-0,331
