sample	A549_CTRL_BRD4	A549_DEX_BRD4	A549_CTRL_CDK9	A549_DEX_CDK9	A549_CTRL_MED1	A549_DEX_MED1	A549_CTRL_NIPBL	A549_DEX_NIPBL	A549_CTRL_SMC1A	A549_DEX_SMC1A	MCF7_CTRL_ERA	MCF7_CTRL_MED1	MCF7_CTRL_NIPBL	MCF7_CTRL_POL2	MCF7_CTRL_SMC1	MCF7_E2_ERA	MCF7_E2_MED1	MCF7_E2_NIPBL	MCF7_E2_POL2	MCF7_E2_SMC1	LCC9_CTRL_ERA	LCC9_CTRL_MED1	LCC9_CTRL_NIPBL	LCC9_CTRL_POL2	LCC9_CTRL_SMC1	LCC9_E2_ERA	LCC9_E2_MED1	LCC9_E2_NIPBL	LCC9_E2_POL2	LCC9_E2_SMC1	A549_DEX_GR	A549_CTRL_GR
MCF7/output/chip-pipeline-GRCh38/alignment/MCF7_E2_WCE/MCF7_E2_WCE.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_CTRL_ERA/LCC9_CTRL_ERA.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_CTRL_MED1/LCC9_CTRL_MED1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_CTRL_NIPBL/LCC9_CTRL_NIPBL.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_CTRL_POL2/LCC9_CTRL_POL2.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_CTRL_SMC1/LCC9_CTRL_SMC1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_CTRL_WCE/LCC9_CTRL_WCE.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_E2_ERA/LCC9_E2_ERA.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_E2_MED1/LCC9_E2_MED1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_E2_NIPBL/LCC9_E2_NIPBL.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_E2_POL2/LCC9_E2_POL2.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_E2_SMC1/LCC9_E2_SMC1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
LCC9/output/chip-pipeline-GRCh38/alignment/LCC9_E2_WCE/LCC9_E2_WCE.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0
A549/output/ENCODE-chip/alignment/GR_0hr_2/GR_0hr_2.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A549/output/ENCODE-chip/alignment/GR_0hr_3/GR_0hr_3.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
A549/output/ENCODE-chip/alignment/GR_1hr_1/GR_1hr_1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A549/output/ENCODE-chip/alignment/GR_1hr_2/GR_1hr_2.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A549/output/ENCODE-chip/alignment/GR_1hr_3/GR_1hr_3.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
A549/output/ENCODE-chip/alignment/Input_0hr_1/Input_0hr_1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A549/output/ENCODE-chip/alignment/Input_0hr_2/Input_0hr_2.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A549/output/ENCODE-chip/alignment/Input_0hr_3/Input_0hr_3.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
A549/output/ENCODE-chip/alignment/Input_1hr_1/Input_1hr_1.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
A549/output/ENCODE-chip/alignment/Input_1hr_2/Input_1hr_2.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
A549/output/ENCODE-chip/alignment/Input_1hr_3/Input_1hr_3.sorted.dup.bam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
